State,Account_Length,Area_Code,International_Plan,VMail_Plan,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,International_Mins,International_calls,CustServ_Calls,Churn
11,49,510,0,0,0.339402560455192,117,0.5914215012372834,109,0.4182356105433028,90,0.555,1,1,0
14,142,415,0,0,0.24125177809388337,95,0.3758592246356887,63,0.6113501882732653,148,0.71,6,2,0
30,75,510,0,0,0.6432432432432432,105,0.5540280450921089,107,0.5997848305540613,98,0.515,5,1,0
18,172,408,0,0,0.6031294452347085,121,0.08578498762716524,115,0.7264658418504573,78,0.63,10,3,0
3,12,408,0,0,0.710099573257468,118,0.6939785537530933,119,0.691231845077999,90,0.5900000000000001,3,1,1
36,57,408,0,1,0.5029871977240399,94,0.5361561726697828,75,0.5118343195266273,116,0.41500000000000004,4,0,0
10,72,415,0,1,0.6258890469416786,80,0.5974704426725324,102,0.3485745024206563,71,0.735,6,3,0
0,36,408,0,1,0.4162162162162163,128,0.44679681055815235,80,0.28536847767617,109,0.7250000000000001,6,0,0
19,78,415,0,0,0.37211948790896165,64,0.615067363211438,116,0.5502958579881657,108,0.5,5,1,0
0,136,415,1,1,0.5800853485064011,106,0.515809733296673,99,0.2111350188273265,107,0.525,6,3,0
31,149,408,0,0,0.3994310099573258,94,0.7473192191366511,92,0.4440559440559441,108,0.555,9,1,0
10,98,408,0,0,0.3593172119487909,102,0.4586197415452296,85,0.44271113501882736,135,0.47000000000000003,2,3,0
20,135,408,1,1,0.49246088193456616,85,0.5606268902941985,107,0.2662721893491124,78,0.73,15,0,1
2,34,510,0,0,0.355049786628734,82,0.7759142150123728,98,0.7754168908015062,78,0.5,4,2,0
13,160,415,0,0,0.24409672830725462,77,0.4544954632939236,110,0.41769768692845616,92,0.45999999999999996,4,3,0
48,64,510,0,0,0.438122332859175,67,0.6208413527632665,118,0.6511565357719205,86,0.17500000000000002,3,1,0
37,59,408,0,1,0.3439544807965861,97,0.585647511685455,92,0.37627756858526085,116,0.42500000000000004,5,2,0
22,65,415,0,0,0.6011379800853486,120,0.4470717624415727,122,0.29989241527703064,118,0.66,5,3,0
8,142,408,0,0,0.5320056899004267,133,0.3700852350838603,74,0.5890263582571275,127,0.37000000000000005,5,2,0
13,119,415,0,0,0.45263157894736844,114,0.6359637063513885,117,0.322754168908015,91,0.44000000000000006,3,5,1
50,97,415,0,1,0.37894736842105264,135,0.5971954907891118,58,0.12748789671866592,79,0.55,3,1,0
12,52,408,0,0,0.545945945945946,108,0.7418201814682431,96,0.5745024206562669,87,0.39,5,3,0
15,60,408,0,0,0.6275960170697013,57,0.5804234259004674,115,0.607315761161915,129,0.34,3,1,0
45,10,408,0,0,0.5294452347083927,112,0.5229584822656035,66,0.6982248520710059,57,0.5700000000000001,6,2,0
44,96,415,0,0,0.4557610241820768,117,0.7354962881495738,67,0.5521785906401291,68,0.4650000000000001,5,2,0
50,87,415,0,0,0.4295874822190612,83,0.6040692878746219,116,0.486013986013986,127,0.485,3,5,1
15,81,408,0,0,0.4992887624466572,67,0.6854550453670608,85,0.6643356643356644,98,0.51,3,1,0
5,141,415,0,0,0.3610241820768137,98,0.4949133901567226,62,0.31629908552985475,128,0.4,2,1,0
5,121,408,0,1,0.5644381223328592,129,0.20703876821556227,77,0.42495965572888644,77,0.29,3,3,1
48,68,415,0,0,0.42332859174964443,70,0.6777563926312895,164,0.2867132867132867,103,0.605,3,3,0
36,125,408,0,0,0.6523470839260314,103,0.48776464118779217,126,0.4467455621301775,95,0.6000000000000001,8,1,0
13,174,408,0,0,0.5465149359886202,97,0.46714324993126205,94,0.385691231845078,54,0.5700000000000001,4,1,0
4,116,415,0,1,0.7641536273115221,83,0.48996425625515533,142,0.384884346422808,106,0.58,3,2,0
23,74,510,0,1,0.5510668563300142,91,0.676656585097608,96,0.30876815492200105,92,0.73,3,2,0
41,149,408,0,1,0.5140825035561878,92,0.516359637063514,64,0.6516944593867671,53,0.63,3,3,0
27,38,408,0,0,0.3732574679943101,98,0.44789661809183395,97,0.3652501344809037,106,0.41,6,2,0
47,40,415,0,1,0.4213371266002845,74,0.46604344239758044,88,0.5134480903711673,102,0.31000000000000005,5,2,0
50,43,415,1,0,0.7155049786628734,105,0.5850976079186143,104,0.3620225927918236,67,0.4650000000000001,4,0,0
23,113,408,1,0,0.35618776671408253,93,0.5675006873797086,119,0.28536847767617,139,0.41500000000000004,8,0,0
44,126,408,0,0,0.6019914651493599,70,0.5963706351388507,80,0.35045723507261967,60,0.39,1,1,0
43,150,510,0,0,0.5089615931721195,101,0.4649436348638988,110,0.3372781065088757,100,0.6900000000000001,3,4,1
31,138,408,0,0,0.6879089615931722,93,0.46879296123178443,83,0.7318450779989242,104,0.5900000000000001,7,3,0
23,162,510,0,1,0.6398293029871978,97,0.5174594445971955,84,0.6223776223776224,61,0.605,2,0,0
32,147,510,0,0,0.7072546230440967,83,0.40940335441297776,85,0.4015599784830554,109,0.4,4,3,0
33,90,415,0,0,0.5786628733997156,146,0.62331591971405,117,0.3474986551909629,105,0.365,4,1,0
11,85,415,0,0,0.6708392603129446,109,0.43222436073687104,94,0.4437869822485207,99,0.6000000000000001,3,0,0
23,50,415,0,0,0.4469416785206259,90,0.6139675556777564,72,0.42549757934373317,111,0.305,2,1,0
7,82,415,0,0,0.8543385490753913,109,0.4976629089909266,100,0.6640667025282411,73,0.585,4,0,1
34,144,408,0,0,0.17524893314367,117,0.21198790211712948,85,0.4029047875201721,99,0.41,7,4,1
23,46,415,0,0,0.6091038406827881,72,0.45202089634313997,104,0.4150080688542227,113,0.41,3,2,0
20,70,408,0,0,0.4842105263157895,98,0.426725323068463,102,0.5524475524475525,76,0.75,2,1,0
49,144,415,0,0,0.5721194879089616,99,0.8344789661809183,74,0.5400753093060786,119,0.66,2,1,0
37,116,415,1,0,0.6128022759601708,104,0.5631014572449822,79,0.6866594943518021,109,0.63,5,3,0
5,55,408,0,1,0.47112375533428164,123,0.37420951333516633,95,0.4101667563206024,90,0.55,2,3,0
10,70,415,0,1,0.7098150782361309,101,0.7140500412427825,98,0.5365788058095751,68,0.49000000000000005,4,1,0
43,106,510,0,0,0.5991465149359886,96,0.6851800934836403,85,0.45239376008606774,88,0.6200000000000001,1,2,1
46,128,510,0,1,0.510099573257468,104,0.6211163046466869,86,0.806347498655191,78,0.43,7,0,0
15,94,408,0,0,0.4492176386913229,105,0.4261754193016222,101,0.44755244755244755,84,0.4,5,4,1
49,111,510,0,0,0.6096728307254624,118,0.573274676931537,76,0.4281871974179666,98,0.6000000000000001,2,1,0
17,74,415,0,1,0.4384068278805121,104,0.3392906241407754,84,0.4811726734803658,57,0.545,9,2,0
31,128,415,0,0,0.6768136557610243,125,0.680780863348914,93,0.49946207638515333,68,0.6950000000000001,4,1,1
7,82,510,0,0,0.4093883357041252,61,0.5358812207863624,105,0.2323830016137708,94,0.555,2,1,0
18,155,415,0,0,0.5786628733997156,100,0.5248831454495464,104,0.46476600322754164,119,0.44500000000000006,4,0,1
2,80,415,0,0,0.35362731152204835,100,0.4756667583172945,107,0.6186121570736955,62,0.395,9,1,0
21,78,415,0,0,0.7194879089615932,93,0.49051416002199616,112,0.6473910704679935,105,0.47500000000000003,7,3,0
3,90,415,0,0,0.5095305832147937,71,0.5240582897992851,81,0.28106508875739644,91,0.53,7,3,0
0,104,408,0,0,0.7920341394025604,106,0.22271102557052516,113,0.3765465303926842,137,0.49000000000000005,5,1,0
26,73,415,0,0,0.4554765291607397,110,0.5864723673357163,72,0.40586336740182893,72,0.65,4,0,0
3,99,415,0,0,0.5638691322901849,87,0.5699752543304922,76,0.4510489510489511,113,0.435,3,4,0
25,120,408,0,0,0.6034139402560456,131,0.5757492438823206,104,0.38730500268961804,96,0.265,5,1,1
13,77,415,0,0,0.7163584637268848,72,0.5655760241957657,126,0.6777837547068316,109,0.49000000000000005,7,2,1
12,98,510,0,1,0.4586059743954481,114,0.6934286499862524,83,0.36847767616998384,92,0.22000000000000003,8,4,0
19,108,415,0,0,0.5072546230440967,137,0.5196590596645587,76,0.28483055406132324,102,0.73,5,0,0
46,135,415,0,0,0.43157894736842106,82,0.3271927412702777,105,0.4217321140398063,100,0.525,6,0,0
17,95,408,0,0,0.38406827880512096,99,0.504811657959857,106,0.5973641742872513,102,0.625,9,1,0
15,122,408,0,0,0.4850640113798009,94,0.47759142150123723,109,0.6062399139322217,75,0.5650000000000001,2,1,0
3,95,408,0,0,0.6773826458036984,65,0.5147099257629915,98,0.4486282947821409,115,0.5900000000000001,4,4,0
22,36,510,0,1,0.8005689900426742,102,0.5559527082760517,76,0.4410973641742872,113,0.45,6,2,0
32,93,510,0,1,0.3354196301564723,131,0.4522958482265603,115,0.5212479827864444,86,0.49000000000000005,3,1,0
5,141,415,0,1,0.42275960170697013,91,0.36046191916414627,97,0.5277030661646047,142,0.505,1,1,0
44,157,408,0,0,0.6537695590327169,90,0.4066538355787737,121,0.5868746637977408,108,0.48,7,3,0
22,120,408,0,0,0.4694167852062589,100,0.8721473742095133,83,0.258203335126412,86,0.41500000000000004,8,1,0
19,103,415,0,0,0.5263157894736842,117,0.6139675556777564,94,0.5368477676169985,91,0.63,2,2,0
1,98,408,0,0,0.45803698435277385,117,0.5248831454495464,113,0.5500268961807423,113,0.605,4,4,0
8,125,408,0,0,0.36045519203413945,108,0.5664008798460269,90,0.6040882194728349,114,0.665,7,1,0
3,63,415,0,0,0.16756756756756758,125,0.4663183942810008,59,0.5061861215707371,88,0.47000000000000003,3,1,0
21,36,510,1,1,0.5598862019914652,89,0.7008523508386033,122,0.30957504034427114,126,1.0,6,0,1
31,64,510,0,0,0.46258890469416786,83,0.4187517184492714,109,0.09225389994620764,122,0.71,3,1,0
33,74,415,0,0,0.8036984352773827,114,0.6046191916414627,48,0.39483593329747174,115,0.47000000000000003,4,1,1
24,112,510,0,1,0.32347083926031295,117,0.43304921638713223,82,0.415277030661646,118,0.5,3,2,0
13,97,408,0,0,0.6822190611664296,125,0.5905966455870223,111,0.3230231307154384,81,0.435,5,2,0
29,46,408,0,0,0.5980085348506401,92,0.6249656310145725,77,0.4757934373318989,116,0.655,7,1,0
43,41,408,0,1,0.6082503556187767,102,0.38988177069012925,86,0.32006455083378155,123,0.36000000000000004,3,0,0
20,121,510,0,0,0.5425320056899005,103,0.5045367060764366,117,0.5314685314685316,103,0.49000000000000005,4,3,0
25,193,415,0,0,0.4862019914651494,124,0.36376134176519115,95,0.24125874125874125,89,0.58,3,1,0
33,130,510,0,0,0.4386913229018492,119,0.3029969755292824,98,0.5492200107584724,117,0.45999999999999996,5,2,0
3,85,408,0,0,0.572972972972973,52,0.6307396205664009,104,0.6167294244217322,106,0.6000000000000001,3,1,0
25,162,415,0,0,0.20113798008534853,108,0.43304921638713223,87,0.3539537385691232,82,0.455,3,4,1
25,61,510,0,1,0.5334281650071124,124,0.4030794610943085,103,0.5446476600322754,129,0.32000000000000006,6,4,1
43,92,408,0,0,0.2608819345661451,90,0.5325817981853176,123,0.40828402366863903,86,0.45999999999999996,4,2,0
29,131,408,0,1,0.6093883357041252,115,0.4445971954907891,117,0.6495427649273803,102,0.47500000000000003,4,3,0
29,90,415,0,0,0.4139402560455192,92,0.5985702502062139,114,0.33270575578267886,123,0.545,2,3,0
4,75,408,0,0,0.4731152204836416,125,0.43497387957107503,86,0.6280258203335126,80,0.305,5,1,0
31,78,415,0,0,0.6571834992887625,115,0.6334891394006049,140,0.6406670252824098,120,0.47500000000000003,3,1,0
43,82,408,0,0,0.5698435277382646,96,0.5532031894418477,102,0.4919311457772996,60,0.355,1,4,0
2,163,408,0,0,0.5604551920341394,109,0.5570525158097333,128,0.49273803119956966,80,0.455,10,1,0
1,91,510,1,0,0.36955903271692747,112,0.4764916139675557,83,0.6024744486282948,130,0.5599999999999999,3,3,0
34,75,415,0,1,0.5001422475106686,97,0.5980203464393731,106,0.5763851533082303,134,0.265,4,5,0
9,91,510,0,0,0.5778093883357042,106,0.5776739070662634,113,0.4636901559978483,129,0.6000000000000001,3,3,0
0,127,510,0,1,0.5211948790896159,117,0.348638988177069,76,0.6457772996234535,71,0.5599999999999999,8,1,0
33,113,415,0,1,0.5832147937411095,101,0.41792686279901015,60,0.3641742872512103,59,0.51,5,2,0
8,110,510,0,0,0.42247510668563304,115,0.7599670057739895,84,0.4583109198493814,112,0.6200000000000001,3,1,0
20,120,415,0,1,0.5698435277382646,68,0.6059939510585648,97,0.6202259279182357,116,0.525,4,0,0
22,157,415,0,1,0.5479374110953058,107,0.5375309320868848,74,0.2326519634211942,139,0.34,5,3,0
46,103,510,0,0,0.7012802275960172,47,0.5375309320868848,84,0.4768692845615922,96,0.585,4,1,0
46,117,408,1,0,0.47539118065433855,86,0.48803959307121253,87,0.6083916083916084,132,0.7050000000000001,7,2,1
22,140,415,0,0,0.6597439544807966,101,0.44019796535606265,94,0.23453469607315763,98,0.7150000000000001,6,3,0
47,127,408,0,0,0.41735419630156473,91,0.5595270827605169,78,0.48466917697686923,110,0.685,3,1,0
44,83,408,1,0,0.7724039829302988,87,0.5947209238383283,126,0.2633136094674556,105,0.585,4,1,0
18,121,408,0,0,0.5163584637268848,121,0.6004949133901567,98,0.3722431414739107,103,0.42500000000000004,5,1,0
39,145,408,0,1,0.7331436699857753,97,0.4456970030244707,95,0.7092522861753631,86,0.555,4,2,0
12,113,408,0,0,0.5513513513513514,99,0.6087434698927687,125,0.40102205486820874,67,0.53,6,1,0
29,117,415,0,0,0.29246088193456615,119,0.5683255430299697,91,0.741796664873588,105,0.505,7,1,0
35,65,408,0,0,0.5345661450924609,116,0.43332416827055265,117,0.548951048951049,86,0.375,6,1,0
39,56,415,0,0,0.6429587482219061,112,0.6832554302996976,118,0.3154922001075847,142,0.34500000000000003,11,1,0
36,96,415,0,0,0.7408250355618776,115,0.4014297497937861,46,0.6624529316837009,87,0.5750000000000001,4,5,0
18,151,408,0,0,0.5083926031294452,116,0.8031344514709926,138,0.6527703066164604,101,0.49000000000000005,4,0,0
35,83,415,0,0,0.9598862019914651,120,0.6252405828979929,116,0.35153308230231306,114,0.79,7,0,1
45,139,510,0,1,0.4483641536273115,129,0.6791311520483916,96,0.6347498655190963,112,0.685,2,0,0
24,6,510,0,0,0.5223328591749644,117,0.7058014847401705,72,0.41796664873587946,79,0.51,2,1,0
9,115,510,0,1,0.4042674253200569,124,0.5042617541930162,129,0.3808499193114578,114,0.48,4,1,0
40,87,415,0,0,0.3877667140825036,97,0.4734671432499312,108,0.30742334588488435,101,0.355,5,0,0
45,141,415,0,0,0.6176386913229018,110,0.6640087984602695,111,0.6194190424959656,103,0.6000000000000001,6,0,0
12,141,510,0,1,0.5334281650071124,99,0.6637338465768491,116,0.5548682087143626,105,0.525,5,3,0
22,62,415,0,0,0.28136557610241825,103,0.37228485015122353,122,0.5739644970414202,82,0.61,1,1,0
36,146,415,0,0,0.5869132290184922,151,0.4085784987627165,89,0.38730500268961804,91,0.305,3,1,0
8,92,415,0,1,0.6916073968705548,92,0.5878471267528182,92,0.5527165142549758,104,0.605,2,2,0
10,185,510,0,1,0.5399715504978664,126,0.44899642562551556,133,0.6498117267348037,126,0.375,3,1,0
7,148,415,0,0,0.5746799431009958,102,0.6686829804784162,128,0.6403980634749866,90,0.545,3,1,0
3,94,408,0,1,0.48392603129445233,124,0.531481990651636,116,0.22243141473910705,73,0.6400000000000001,4,1,0
1,32,510,0,0,0.6568990042674253,87,0.5152598295298323,90,0.3518020441097364,53,0.315,2,0,0
5,68,408,0,0,0.6745376955903272,105,0.6145174594445972,105,0.19956966110812263,79,0.66,2,1,0
30,64,408,0,1,0.5180654338549076,91,0.4665933461644212,98,0.38058095750403437,86,0.53,5,2,0
32,25,415,0,0,0.339402560455192,87,0.581523233434149,101,0.6608391608391608,86,0.525,4,3,0
37,65,415,0,0,0.3322901849217639,87,0.4918889194390982,93,0.4281871974179666,150,0.7050000000000001,2,1,0
18,179,408,0,0,0.6236130867709815,92,0.4107781138300797,125,0.5957504034427111,104,0.305,5,0,0
29,94,415,0,0,0.7186344238975818,104,0.4646686829804784,125,0.3972565895642819,106,0.555,7,2,0
23,62,415,0,0,0.4184921763869132,91,0.5235083860324443,107,0.46261430876815485,115,0.61,3,0,0
22,127,415,0,0,0.5749644381223329,103,0.6307396205664009,86,0.46261430876815485,113,0.5750000000000001,3,2,0
2,116,408,0,0,0.49359886201991465,93,0.5336816057189991,76,0.4970414201183431,112,0.81,10,3,0
16,70,408,0,0,0.6603129445234709,122,0.8036843552378334,112,0.4787520172135556,112,0.0,0,3,0
49,94,510,1,1,0.5607396870554765,125,0.589771789936761,136,0.6966110812264659,103,0.47500000000000003,5,4,0
0,126,415,0,0,0.1655761024182077,94,0.38135826230409675,118,0.3055406132329209,91,0.5950000000000001,1,5,1
34,67,408,0,1,0.32887624466571835,111,0.6535606268902941,94,0.39456697149004843,103,0.49500000000000005,12,2,0
30,19,408,0,0,0.5294452347083927,98,0.6992026395380808,57,0.513179128563744,127,0.73,7,2,0
45,170,510,1,0,0.739402560455192,68,0.6736321143799835,122,0.2990855298547606,121,0.42000000000000004,3,3,0
32,73,415,0,0,0.6096728307254624,145,0.7382458069837778,135,0.5863367401828941,92,0.54,13,1,0
34,106,408,0,0,0.4514935988620199,74,0.1767940610393181,139,0.4714900484131253,103,0.51,4,1,0
3,93,415,0,0,0.772688477951636,71,0.6307396205664009,108,0.14550833781603012,121,0.545,3,2,0
50,164,510,0,0,0.4568990042674253,111,0.4487214737420951,126,0.4408284023668639,112,0.45,3,1,0
47,51,408,0,0,0.6611664295874823,109,0.5152598295298323,95,0.5594405594405595,107,0.455,3,1,0
5,107,415,0,0,0.38065433854907543,85,0.49628814957382456,94,0.23937600860677782,115,0.44500000000000006,4,0,0
43,130,415,0,0,0.503271692745377,109,0.2493813582623041,104,0.577729962345347,69,0.47500000000000003,2,1,0
17,80,408,0,0,0.5971550497866288,74,0.5364311245532032,77,0.49757934373318985,119,0.44000000000000006,4,2,0
26,94,415,0,0,0.3911806543385491,118,0.5587022271102556,88,0.3410435718128026,131,0.67,2,0,0
36,118,408,0,1,0.8236130867709816,52,0.4580698377783888,111,0.25793437331898866,88,0.47500000000000003,4,1,0
20,117,415,0,1,0.5635846372688478,86,0.4866648336541105,86,0.4230769230769231,92,0.34,6,1,0
42,78,415,0,0,0.4258890469416785,119,0.5009623315919713,115,0.6409359870898332,126,0.485,8,0,0
43,208,510,0,0,0.9288762446657184,67,0.48474017047016776,113,0.4263044647660032,102,0.535,6,2,1
21,131,510,1,1,0.8332859174964438,101,0.5490789111905416,97,0.6242603550295859,127,0.6900000000000001,7,4,1
7,63,408,0,0,0.2361308677098151,64,0.4866648336541105,106,0.5984400215169446,89,0.65,3,0,0
23,53,415,0,1,0.41450924608819345,146,0.6062689029419851,136,0.6097364174287252,96,0.655,5,3,0
8,62,408,0,0,0.5186344238975819,101,0.9023920813857574,93,0.5965572888649812,131,0.5599999999999999,1,2,0
20,97,415,0,0,0.620199146514936,86,0.5059114654935386,94,0.5844540075309307,110,0.32000000000000006,8,3,0
22,105,510,0,0,0.4,109,0.49106406378883694,51,0.5212479827864444,83,0.34,3,2,0
47,157,415,0,0,0.4344238975817923,105,0.7080010998075337,80,0.47041420118343197,93,0.47000000000000003,4,1,0
24,66,415,0,1,0.3035561877667141,76,0.5768490514160022,77,0.44970414201183434,117,0.605,2,1,0
15,122,415,0,0,0.6935988620199147,98,0.23068463018971683,72,0.42119419042495965,84,0.685,8,2,0
37,38,415,0,0,0.5530583214793742,94,0.5133351663458895,95,0.5381925766541151,90,0.54,5,3,0
20,106,510,0,0,0.6085348506401138,95,0.4176519109155898,70,0.6371705217859065,124,0.61,5,3,0
39,99,510,0,0,0.6179231863442389,112,0.6783062963981303,89,0.5457235072619688,89,0.79,7,3,0
18,99,415,0,0,0.6859174964438123,72,0.4278251306021446,98,0.4437869822485207,109,0.58,10,1,0
3,144,510,1,0,0.5789473684210527,100,0.680780863348914,103,0.46019365250134486,94,0.5950000000000001,11,0,0
38,82,415,0,1,0.4415362731152205,131,0.6722573549628815,106,0.2668101129639591,68,0.535,3,1,0
3,86,408,0,1,0.4768136557610242,139,0.3106956282650536,118,0.6016675632060248,121,0.61,6,1,0
9,70,510,1,0,0.644950213371266,98,0.6271652460819357,115,0.13448090371167296,93,0.8800000000000001,4,2,1
18,93,415,0,0,0.510099573257468,93,0.49106406378883694,98,0.5433028509951587,131,0.5750000000000001,6,3,0
9,93,415,0,0,0.4307254623044097,89,0.5125103106956282,76,0.4015599784830554,120,0.545,3,0,0
9,120,415,0,0,0.5120910384068279,80,0.6164421226285399,82,0.6514254975793436,91,0.23500000000000001,7,3,0
20,136,415,0,0,0.7118065433854908,121,0.7343964806158922,118,0.34373318988703605,114,0.65,2,1,1
1,106,415,0,0,0.6344238975817923,121,0.302722023645862,98,0.44513179128563735,107,0.355,12,0,0
47,81,415,0,0,0.5223328591749644,116,0.4195765740995326,98,0.5083378160301237,99,0.61,6,3,0
42,127,408,0,1,0.4722617354196302,114,0.4797910365686005,103,0.5962883270575579,68,0.51,6,1,0
25,65,415,0,0,0.3871977240398293,112,0.7503436898542755,96,0.5298547606239914,104,0.22000000000000003,2,1,0
21,35,408,0,0,0.4247510668563301,113,0.6659334616442122,122,0.40640129101667566,104,0.44500000000000006,6,2,0
36,88,408,0,0,0.18605974395448083,97,0.46246906791311515,76,0.5723507261968801,113,0.6900000000000001,1,2,0
15,65,415,0,0,0.6071123755334282,111,0.6447621666208414,94,0.6102743410435718,123,0.135,4,1,0
24,123,415,0,0,0.588620199146515,85,0.6728072587297222,78,0.5333512641204949,136,0.385,2,3,0
12,126,408,0,1,0.5297297297297298,78,0.5213087709650811,83,0.14335664335664336,139,0.48,3,2,0
45,104,415,0,1,0.7971550497866288,136,0.6062689029419851,92,0.3058095750403443,102,0.665,3,4,0
17,45,415,0,1,0.5593172119487909,84,0.8611492988726972,92,0.37681549220010757,108,0.5950000000000001,3,0,0
20,93,408,1,0,0.887624466571835,109,0.3557877371459995,100,0.5228617536309844,74,0.525,2,0,1
35,63,415,1,1,0.566145092460882,110,0.8009348364036294,111,0.4690693921463152,92,0.55,6,1,0
36,100,415,0,0,0.5778093883357042,96,0.5966455870222711,126,0.42415277030661647,122,0.675,2,3,0
33,53,415,0,0,0.48022759601706977,97,0.6057189991751444,87,0.35260892953200645,113,0.545,2,0,0
13,92,415,1,0,0.49246088193456616,140,0.6607093758592246,105,0.5648197955890264,117,0.45,5,1,0
23,139,510,0,0,0.38236130867709817,106,0.5809733296673083,98,0.4583109198493814,125,0.51,2,5,1
41,110,408,0,1,0.5763869132290185,103,0.32664283750343687,128,0.5693921463152233,98,0.45,9,2,0
14,110,408,0,0,0.21194879089615934,117,0.5521033819081661,98,0.45454545454545453,101,0.49000000000000005,7,3,0
50,215,510,0,0,0.23783783783783782,148,0.3324168270552653,91,0.5470683162990856,110,0.535,9,0,0
1,73,415,0,0,0.5467994310099573,86,0.4635688754467968,116,0.3136094674556213,87,0.47000000000000003,6,1,0
31,138,510,0,0,0.6264580369843528,89,0.24278251306021445,125,0.46288327057557827,79,0.645,5,0,0
33,137,415,1,0,0.38435277382645805,95,0.3687104756667583,102,0.5376546530392684,81,0.6150000000000001,2,2,1
15,36,415,0,0,0.7209103840682789,77,0.5015122353588122,151,0.6793975255513718,103,0.42000000000000004,2,1,0
49,85,408,0,0,0.6401137980085349,81,0.48638988177069015,63,0.46019365250134486,110,0.355,2,3,0
45,108,408,0,0,0.5647226173541964,99,0.736321143799835,60,0.8921463152232383,75,0.47000000000000003,3,0,1
40,22,408,0,0,0.3137980085348506,107,0.45779488589496836,93,0.4817105970952125,96,0.47500000000000003,5,0,0
39,107,415,0,1,0.17069701280227598,102,0.28100082485565026,80,0.6417428725121034,106,0.555,3,0,0
15,51,510,0,0,0.611095305832148,94,0.4116029694803409,58,0.699838622915546,66,0.51,5,0,0
3,94,408,0,0,0.5172119487908963,85,0.5565026120428925,98,0.5989779451317914,97,0.45999999999999996,2,4,0
32,119,510,0,1,0.438122332859175,114,0.764366235908716,137,0.5519096288327058,112,0.5900000000000001,4,2,0
37,33,415,0,1,0.4477951635846373,99,0.3241682705526533,80,0.6885422270037654,79,0.6950000000000001,11,4,1
31,106,415,0,0,0.5914651493598863,91,0.47291723948309045,109,0.4534696073157612,143,0.7200000000000001,7,4,0
25,82,408,0,0,0.5889046941678521,90,0.640362936486115,83,0.40129101667563205,108,0.455,8,3,0
